,Unnamed: 0,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem
0,0,улица Советская,50А,2021-06-05 22:08:11.225,Тротуар возле рощи,10000,"['тротуар', 'возле', 'роща']"
1,1,улица Кукшумская,9,2021-06-11 20:56:03.802,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,10001,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']"
2,2,улица Кукшумская,9,2021-06-11 21:00:13.376,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,10002,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']"
3,3,улица Социалистическая,19,2021-06-12 13:08:16.467,"Бегают тараканы по всему подъезду, необходимо вызывать службу дезинсекции.
Течет крыша, нужен кап.ремонт крыши - давно не делали, жэк не реагирует на просьбы жителей",10003,"['бегать', 'таракан', 'весь', 'подъезд', 'необходимо', 'вызывать', 'служба', 'дезинсекция', 'течь', 'крыша', 'нужный', 'кап', 'ремонт', 'крыша', ' - ', 'давно', 'делать', 'жэк', 'реагировать', 'просьба', 'житель']"
4,4,улица Ахазова,7,2021-06-15 17:10:23.232,"Мы жильцы дома №7 живем с 1978 и капитального ремонта ни разу не было. Прошу вас посодействовать, чтобы наш дом включили в программу капитального ремонта не 2030-2035, как можно раньше.
Наш двор 40 лет назад не был рассчитан на такое количество автомобилей, зимой они заезжают на тротуар, мешают чистить снег. Хотелось бы что бы помогли как не будь решить эту проблему",10004,"['жилец', 'дом', '№', '7', 'жить', '1978', 'капитальный', 'ремонт', 'просить', 'посодействовать', 'наш', 'дом', 'включать', 'программа', 'капитальный', 'ремонт', '2030', '-', '2035', 'рано', 'наш', 'двор', '40', 'год', 'назад', 'рассчитать', 'количество', 'автомобиль', 'зима', 'заезжать', 'тротуар', 'мешать', 'чистить', 'снег', 'хотеться', 'помогать', 'решать', 'проблема']"
5,5,улица Кадыкова,18 корп. 1,2021-06-05 17:12:17.676,Нужны дополнительные парковочные места..,10005,"['нужный', 'дополнительный', 'парковочный', 'место', '..']"
6,6,улица Ольдеевская,74,2021-06-12 22:02:42.455,Нужна нам всем жителям деревни Дорога!!,10006,"['нужный', 'весь', 'житель', 'деревня', 'дорога', '!!']"
7,7,проспект Ленина,25,2021-06-07 18:55:59.315,Навести порядок и обустроить место для ТБО.,10007,"['навещать', 'порядок', 'обустраивать', 'место', 'тбо']"
8,8,проспект Мира,ё,2021-06-09 09:54:16.566,сделать дорогу,10008,"['сделать', 'дорога']"
9,9,переулок Ягодный,7,2021-06-07 22:23:15.328,"поменять в доме провода, щиток опасный.нужен кап.ремонт",10009,"['поменять', 'дом', 'провод', 'щиток', 'опасный', 'нужный', 'кап', 'ремонт']"
10,10,бульвар Гидростроителей,4,2021-06-14 17:28:44.314,"Большая комиссия при оплате КУ на почте, приходили проверять вентиляцию, через 10 мин озвучили сумму 5000, не выполнив работу(мошенники) ",10010,"['большой', 'комиссия', 'оплата', 'ку', 'почта', 'приходить', 'проверять', 'вентиляция', '10', 'мина', 'озвучивать', 'сумма', '5000', 'выполнять', 'работа', '(', 'мошенник']"
11,11,улица Винокурова,71,2021-06-08 21:04:29.372,Поменять бордюры. Скамейки поставили под окнами. Скамейки поставить с одной стороны. Скамейки поставить подальше от домов ,10011,"['поменять', 'бордюр', 'скамейка', 'поставлять', 'окно', 'скамейка', 'поставлять', 'сторона', 'скамейка', 'поставлять', 'далеко', 'дом']"
12,12,улица Эльгера,17,2021-06-07 11:38:43.309,Социальная помощь инвалидам. ,10012,"['социальный', 'помощь', 'инвалид']"
13,13,улица П.В.Дементьева,22,2021-06-09 11:28:13.169,"спорт площадки, мало деревьев",10013,"['спорт', 'площадка', 'мало', 'дерево']"
14,14,улица 50 лет Октября,14,2021-06-07 19:28:35.630,"Благоустройство территории 
Ремонт дорог",10014,"['благоустройство', 'территория', ' \n', 'ремонт', 'дорогой']"
15,15,бульвар Эгерский,25,2021-06-11 23:14:46.048,Благоустройство дет. площадки.,10015,"['благоустройство', 'дет', 'площадка']"
16,16,проспект Мира,38,2021-06-06 19:14:43.767,"Благоустройство детской площадки
",10016,"['благоустройство', 'детский', 'площадка']"
17,17,улица Чернышевского,27,2021-06-07 23:31:02.995,"Мало школ, банкоматов",10017,"['мало', 'школа', 'банкомат']"
18,18,проспект Мира,23Б,2021-06-09 09:37:56.505,"контроль цен жкх
в магазине",10018,"['контроль', 'цена', 'жкх', 'магазин']"
19,19,улица 10 Пятилетки,46,2021-06-09 23:30:17.596,Благоустройство 10-й Пятилетки,10019,"['благоустройство', '10', '-', 'й', 'пятилетка']"
20,20,улица Бичурина,8,2021-06-05 22:00:32.650,Нужны скамейки. Ремонт дороги.,10020,"['нужный', 'скамейка', 'ремонт', 'дорога']"
21,21,улица Ахазова,3,2021-06-06 21:59:56.529,"Благоустроить дворовую территорию ( детскую площадку), дорога. ",10021,"['благоустраивать', 'дворовый', 'территория', ' ( ', 'детский', 'площадка', '), ', 'дорога']"
22,22,улица Советская,12,2021-06-08 14:46:47.742,Отремонтировать дорогу перед домом,10022,"['отремонтировать', 'дорога', 'дом']"
23,23,улица Комсомольская,12,2021-06-14 18:47:08.284,"Ремонт дороги, обустройство детской площадки",10023,"['ремонт', 'дорога', 'обустройство', 'детский', 'площадка']"
24,24,улица Энтузиастов,15,2021-07-06 12:28:52.116,"Чтобы больше обращали внимание на престарелых пенсионеров и помогали отремонтировать их квартиры.
",10024,"['обращать', 'внимание', 'престарелый', 'пенсионер', 'помогать', 'отремонтировать', 'квартира']"
25,25,улица Энтузиастов,15,2021-06-10 15:43:40.599,"больше внимания пенсионерам, и помогали отремонтировать их квартиры",10025,"['внимание', 'пенсионер', 'помогать', 'отремонтировать', 'квартира']"
26,26,проспект Ленина,56,2021-06-13 16:45:48.905,"хочу астелить окно , тк лицевая сторона. уже был раговор.

сделать тратуар",10026,"['хотеть', 'астилать', 'окно', ' , ', 'тк', 'лицевой', 'сторона', 'раговор', 'сделать', 'тратуар']"
27,27,бульвар Юго-Западный,10,2021-06-07 12:45:39.095,"Ухоженные площадки, хорошие дороги, летом - благоустроенные дворы, зимой - каток или хоккейная площадка для детей",10027,"['ухоженный', 'площадка', 'хороший', 'дорога', 'лето', ' - ', 'благоустроенный', 'двор', 'зима', ' - ', 'каток', 'хоккейный', 'площадка', 'ребенок']"
28,28,"улица д. Чандрово, ул. Чандровская",102,2021-06-11 00:12:50.218,"Отремонтировать клуб, сделать нормальную асфальтированную дорогу и тротуар, поставить аптечный пункт",10028,"['отремонтировать', 'клуб', 'сделать', 'нормальный', 'асфальтировать', 'дорога', 'тротуар', 'поставлять', 'аптечный', 'пункт']"
29,29,переулок Молодежный,3,2021-06-07 01:48:54.250,"Асфальтированный тротуар от 1-9 дома 
Детская площадка
Разводка воды",10029,"['асфальтировать', 'тротуар', '1', '-', '9', 'дом', ' \n', 'детский', 'площадка', 'разводка', 'вода']"
30,30,улица Комсомольская,22,2021-06-14 19:12:21.123,Посадить кустарники,10030,"['посадить', 'кустарник']"
31,31,проспект Мира,23,2021-06-09 00:03:55.087,хорошие з/п и пенсию,10031,"['хороший', 'з', '/', 'п', 'пенсия']"
32,32,проспект Мира,23,2021-06-08 23:49:28.893,"ремонт подьездов, дорог",10032,"['ремонт', 'подьезд', 'дорога']"
33,33,улица Советская,73,2021-06-11 23:37:56.532,"Навести порядок со стороны Советской 77 (стоматология). Всегда грязно, нет тротуаров! Нет дороги к остановке.",10033,"['навещать', 'порядок', 'сторона', 'советский', '77', ' (', 'стоматология', ')', 'грязно', 'тротуар', '! ', 'дорога', 'остановка']"
34,34,улица Эльгера,16,2021-06-06 16:31:57.560,Ремонт  подъезда по улице Эльгера дом 16.,10034,"['ремонт', 'подъезд', 'улица', 'эльгер', 'дом', '16']"
